Date,Time_Hour,bike_stands,Available_Bikes,Available_Bike_Stands,Avail_Bike_Changes,Avail_Bikes_Decrease,Avail_Bikes_Increase,Avail_Bike_Stand_Changes,Avail_Stands_Decrease,Avail_Stands_Increase,address,banking,Elevation,Latitude,Longitude,number,Availability,Date_Time,rain,temp,wetb,dewpt,vappr,rhum,msl,Total_Activity,Weight,Total_System_Bikes,DayofWeek,DayWeek_proc,Avg_Avail_Bikes,Avg_Avail_Bike_Change,old_index,demand,newindex,cluster
2019-03-20,1960-01-01 17:00:00,20,8,12,-8,10,2,8,2,10,Wilton Terrace,1,17,53.332383,-6.252717,39,0.4,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,4.96,1017,4,Wed,3,-1,39577,5,39,0
2019-03-20,1960-01-01 17:00:00,21,2,19,0,3,3,0,3,3,Jervis Street,1,17,53.3483,-6.266651,40,0.0952380952,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,6,4.76,1017,4,Wed,6,-1,455743,-4,40,0
2019-03-20,1960-01-01 17:00:00,20,0,20,1,2,3,-1,3,2,Harcourt Terrace,0,18,53.332763,-6.257942,41,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,2.84,1017,4,Wed,2,-1,524498,-2,41,0
2019-03-20,1960-01-01 17:00:00,30,6,24,6,2,8,-6,8,2,Smithfield North,1,9,53.349562,-6.278198,42,0.2,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,10,5.06,1017,4,Wed,13,6,493369,-7,42,0
2019-03-20,1960-01-01 17:00:00,30,12,18,18,2,20,-18,20,2,Portobello Road,1,21,53.330091,-6.268044,43,0.4,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,22,5.83,1017,4,Wed,14,7,397084,-2,43,0
2019-03-20,1960-01-01 17:00:00,30,3,27,6,3,9,-6,9,3,Upper Sherrard Street,0,15,53.358437,-6.260641,44,0.1,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,4.02,1017,4,Wed,8,9,47788,-5,44,0
2019-03-20,1960-01-01 17:00:00,30,9,21,2,1,3,-2,3,1,Deverell Place,0,6,53.351464,-6.255265,45,0.3,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,4,2.7,1017,4,Wed,12,4,430637,-3,45,0
2019-03-20,1960-01-01 17:00:00,20,5,15,4,4,8,-4,8,4,Strand Street Great,1,8,53.347082,-6.264192,46,0.25,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,3.66,1017,4,Wed,8,2,477085,-3,46,0
2019-03-20,1960-01-01 17:00:00,40,17,23,-17,17,0,17,0,17,Herbert Street,0,17,53.335742,-6.24551,47,0.425,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,17,3.53,1017,4,Wed,10,-8,256206,7,47,0
2019-03-20,1960-01-01 17:00:00,40,36,4,2,2,4,-2,4,2,Excise Walk,0,14,53.347777,-6.244239,48,0.9,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,6,5.81,1017,4,Wed,25,-4,174840,11,48,0
